Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,NY/A,ANY/A,Sk%,EXP
1,Buffalo Bills,16,313,492,63.6,2867,22,4.5,16,73,3.3,6.3,5.7,9.9,179.2,82.6,36,217,87,88,5.4,4.9,6.8,-5.19
2,Jacksonville Jaguars,16,312,499,62.5,3113,17,3.4,11,52,2.2,6.7,6.4,10.8,194.6,84.4,37,241,93,73,5.8,5.5,6.9,-16.56
3,Minnesota Vikings,16,315,503,62.6,3140,15,3.0,12,63,2.4,7.0,6.5,11.1,196.3,83.3,50,361,94,88,5.7,5.2,9.0,4.12
4,Arizona Cardinals,16,342,506,67.6,3262,21,4.2,7,52,1.4,7.1,7.3,10.5,203.9,96.1,49,333,90,99,5.9,6.1,8.8,-62.52
5,Baltimore Ravens,16,337,577,58.4,3360,21,3.6,12,89,2.1,6.3,6.1,10.8,210.0,80.6,43,291,104,86,5.4,5.2,6.9,0.96
6,Tennessee Titans,16,337,533,63.2,3471,21,3.9,11,64,2.1,7.0,6.8,11.0,216.9,88.4,39,248,84,65,6.1,5.9,6.8,-35.95
7,Chicago Bears,16,377,615,61.3,3515,22,3.6,27,98,4.4,6.3,5.0,10.2,219.7,72.9,50,339,100,86,5.3,4.1,7.5,33.19
8,Detroit Lions,16,323,496,65.1,3599,29,5.8,7,48,1.4,7.9,8.4,12.1,224.9,102.7,43,298,77,68,6.7,7.2,8.0,-106.38
9,Los Angeles Chargers,16,351,548,64.1,3646,23,4.2,13,73,2.4,7.1,6.9,11.1,227.9,89.1,38,240,85,68,6.2,6.0,6.5,-58.84
10,Pittsburgh Steelers,16,362,566,64.0,3697,27,4.8,8,69,1.4,7.1,7.5,11.2,231.1,95.2,52,347,115,77,6.0,6.3,8.4,-73.72
11,San Francisco 49ers,16,344,542,63.5,3732,35,6.5,2,39,0.4,7.3,8.4,11.5,233.3,105.4,37,227,92,81,6.4,7.5,6.4,-141.78
12,Green Bay Packers,16,336,527,63.8,3752,30,5.7,7,59,1.3,7.7,8.3,12.1,234.5,100.9,44,322,74,72,6.6,7.1,7.7,-131.84
13,Dallas Cowboys,16,367,542,67.7,3755,22,4.1,9,66,1.7,7.4,7.4,10.9,234.7,95.7,39,229,97,69,6.5,6.5,6.7,-83.33
14,Los Angeles Rams,16,347,533,65.1,3780,31,5.8,18,68,3.4,7.7,7.3,11.8,236.3,93.7,41,326,94,71,6.6,6.3,7.1,-63.15
15,Washington Redskins,16,362,537,67.4,3794,27,5.0,15,60,2.8,7.6,7.4,11.3,237.1,95.1,46,297,89,65,6.5,6.3,7.9,-66.83
16,Indianapolis Colts,16,384,542,70.8,3805,21,3.9,15,61,2.8,7.4,7.0,10.5,237.8,93.5,38,228,77,91,6.6,6.1,6.6,-49.10
17,Seattle Seahawks,16,355,546,65.0,3842,26,4.8,12,64,2.2,7.5,7.5,11.6,240.1,94.3,43,261,109,69,6.5,6.5,7.3,-68.19
18,Carolina Panthers,16,353,529,66.7,3847,32,6.0,13,71,2.5,7.7,7.8,11.5,240.4,99.6,35,215,71,82,6.8,6.9,6.2,-107.56
19,Oakland Raiders,16,299,480,62.3,3853,36,7.5,14,73,2.9,8.2,8.4,13.2,240.8,101.0,13,80,48,53,7.8,8.0,2.6,-156.09
20,Denver Broncos,16,353,549,64.3,3929,26,4.7,17,82,3.1,7.7,7.3,12.0,245.6,90.7,44,311,94,70,6.6,6.2,7.4,-62.82
21,Miami Dolphins,16,335,508,65.9,3932,31,6.1,21,59,4.1,8.2,7.5,12.4,245.8,94.1,31,209,76,66,7.3,6.7,5.8,-120.20
22,New England Patriots,16,370,605,61.2,3943,29,4.8,18,67,3.0,6.9,6.5,11.3,246.4,85.4,30,238,100,51,6.2,5.8,4.7,-52.38
23,New York Giants,16,362,560,64.6,4044,24,4.3,16,76,2.9,7.6,7.1,11.7,252.8,89.8,30,185,84,71,6.9,6.4,5.1,-105.62
24,New York Jets,16,367,582,63.1,4065,29,5.0,13,76,2.2,7.5,7.5,11.9,254.1,93.1,39,293,114,77,6.5,6.5,6.3,-76.59
25,Cleveland Browns,16,393,626,62.8,4125,21,3.4,17,78,2.7,7.0,6.4,11.1,257.8,83.4,37,245,90,78,6.2,5.7,5.6,-53.01
26,Tampa Bay Buccaneers,16,387,534,72.5,4151,34,6.4,9,56,1.7,8.2,8.7,11.3,259.4,110.9,38,232,93,85,7.3,7.7,6.6,-148.12
27,Atlanta Falcons,16,398,585,68.0,4153,33,5.6,15,72,2.6,7.5,7.5,11.1,259.6,98.3,37,255,77,58,6.7,6.7,5.9,-122.25
28,Houston Texans,16,385,594,64.8,4167,28,4.7,15,90,2.5,7.5,7.3,11.6,260.4,92.7,43,310,92,80,6.5,6.4,6.8,-71.19
29,New Orleans Saints,16,384,573,67.0,4302,30,5.2,12,69,2.1,8.1,8.2,12.0,268.9,100.3,49,321,98,83,6.9,7.0,7.9,-140.01
30,Philadelphia Eagles,16,417,626,66.6,4308,22,3.5,10,68,1.6,7.4,7.4,11.1,269.3,93.4,44,311,133,86,6.4,6.4,6.6,-100.80
31,Kansas City Chiefs,16,406,632,64.2,4374,30,4.7,15,64,2.4,7.5,7.4,11.6,273.4,92.7,52,347,105,70,6.4,6.3,7.6,-116.31
32,Cincinnati Bengals,16,389,584,66.6,4414,32,5.5,12,75,2.1,7.9,8.0,11.8,275.9,100.0,34,173,83,63,7.1,7.3,5.5,-139.92
,Avg Team,,358.2,552.2,64.9,3804.3,26.5,4.8,13.1,67.9,2.4,7.4,7.3,11.4,237.8,92.9,40.0,266.6,91.2,74.7,6.42,6.3,6.8,
,League Total,,11462,17671,64.9,121737,847,4.8,419,2174,2.4,7.4,7.3,11.4,237.8,92.9,1281,8530,2919,2389,6.42,6.3,6.8,
,Avg Tm/G,,22.4,34.5,64.9,237.8,1.7,4.8,0.8,4.2,2.4,7.4,7.3,11.4,237.8,92.9,2.5,16.7,5.7,4.7,6.42,6.3,6.8
