No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
17,Josh Allen\AlleJo02,22,QB,12,11,5-6-0,169,320,52.8,2074,10,3.1,12,3.8,75,6.5,5.4,12.3,172.8,67.9,52.3,28,213,5.35,4.37,8.0,2,3
2,Nathan Peterman\PeteNa00,24,qb,4,2,0-2-0,44,81,54.3,296,1,1.2,7,8.6,26,3.7,0.0,6.7,74.0,30.7,6.5,7,34,2.98,-0.38,8.0,,
3,Derek Anderson\AndeDe00,35,qb,2,2,0-2-0,42,70,60.0,465,0,0.0,4,5.7,40,6.6,4.1,11.1,232.5,56.0,27.0,5,33,5.76,3.36,6.7,,
5,Matt Barkley\BarkMa00,28,qb,1,1,1-0-0,15,25,60.0,232,2,8.0,0,0.0,47,9.3,10.9,15.5,232.0,117.4,84.7,1,8,8.62,10.15,3.8,,
9,Corey Bojorquez\BojoCo00,22,P,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
11,Zay Jones\JoneZa00,23,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
82,Logan Thomas\ThomLo00,27,te,12,3,,1,1,100.0,15,0,0.0,0,0.0,15,15.0,15.0,15.0,1.3,118.7,,0,0,15.00,15.00,0.0,,
25,LeSean McCoy\McCoLe01,30,RB,14,13,0-1-0,0,0,,0,0,,0,,0,,,,0.0,,3.8,0,0,,,,,
,Team Total,26.5,,16,,6-11-0,271,499,54.3,3082,13,2.6,23,4.6,75,6.2,4.6,11.4,192.6,62.6,,41,288,5.17,3.74,7.6,2,3
,Opp Total,,,16,,,313,492,63.6,3084,22,4.5,16,3.3,,6.3,5.70,9.9,192.8,82.6,,36,217,5.4,4.9,6.8,
